time_hr,activity_index
0,86.86773095
1,89.553172
2,80.45484581
3,86.24364763
4,71.61973478
5,56.21165938
6,52.38899835
7,43.28461453
8,32.82333726
9,20.13776542
10,22.87783698
11,13.28943143
12,6.893913004
13,0.31659845
14,21.03994641
15,21.57630119
16,30.03034209
17,44.49824722
18,54.25054645
19,63.46946299
20,74.73371371
21,82.31385897
22,85.10177277
23,78.73763159
24,93.09866512
25,88.30398139
26,83.75724953
27,70.77689258
28,67.41435173
29,62.21751493
30,56.55266457
31,38.89321844
32,31.71639056
33,21.26007712
34,8.338076633
35,9.216255975
36,8.029593384
37,11.14430856
38,21.01258107
39,25.75376354
40,29.45599938
41,38.69856987
42,53.82184139
43,63.46898406
44,66.86121248
45,75.00097711
46,86.64701158
47,92.57559264
48,89.43641445
49,92.93893899
50,86.42919406
51,74.93328131
52,71.34314744
53,54.29456269
54,56.73180463
55,49.1235682
56,27.77599589
57,16.17348415
58,17.97722199
59,10.56786663
60,22.01098643
61,11.29634704
62,19.05911287
63,22.21546168
64,26.73003243
65,41.09588449
66,41.50480759
67,68.19890636
68,71.23695104
69,89.53612512
70,87.29599607
71,85.23083592
72,93.04945921
73,83.81079421
74,78.07213692
75,79.31275431
76,67.25308138
77,59.76024553
78,49.7458221
79,36.08862547
80,26.603303
81,20.58398228
82,20.92511664
83,3.578114941
84,12.97541021
85,13.20986307
86,21.02467429
87,20.69274467
88,32.46472692
89,41.67418996
90,48.00956453
91,67.09568305
92,76.43791629
93,82.30808421
94,92.9461529
95,91.61974128
96,83.60962118
97,85.56194527
98,78.11808406
99,75.34998408
100,66.19924779
0,90.21057937
1,84.08034714
2,85.42313274
3,74.9943204
4,78.80863227
5,63.89753868
6,54.50272423
7,41.51391779
8,38.3553109
9,18.48602508
10,13.01070749
11,18.50162644
12,6.74663414
13,10.35319417
14,13.45125217
15,20.20100489
16,28.71572689
17,42.25000783
18,49.25778806
19,57.97016908
20,76.85402098
21,77.33028042
22,83.8311652
23,88.18343637
24,93.56286791
25,88.21680307
26,84.34805621
27,74.7223521
28,68.18375065
29,60.42860933
30,46.81479438
31,42.06463804
32,22.18606209
33,23.06189162
34,7.5411253
35,9.786348157
36,7.35964363
37,8.180401645
38,15.22797032
39,12.36608767
40,36.16153392
41,31.64051609
42,48.0193725
43,55.10606755
44,66.55089594
45,88.97428562
46,84.91107987
47,82.30142536
48,81.79511784
49,90.78433586
50,84.34586549
51,76.4030714
52,64.99073825
53,52.50407662
54,44.19072464
55,44.22171273
