x,y
10,327.9243213
11,294.1703896
12,383.3367293
13,400.7693693
14,484.3299682
15,518.9816661
16,590.1057937
17,576.4539176
18,659.9014386
19,645.2707678
20,788.3643635
21,753.8353738
22,777.5087115
23,761.2092679
24,832.108804
25,718.2131773
26,724.9177635
27,813.6141119
28,699.4651823
29,707.6309628
30,680.3596035
31,662.0003566
32,638.0443349
33,646.7094166
34,579.1334759
35,524.7021269
36,575.1519413
37,451.2710296
38,403.0221735
39,352.9904629
40,335.6333154
10,296.3217798
11,356.1182914
12,377.9169761
13,445.7864864
14,511.008022
15,520.5552757
16,614.5748096
17,546.0802959
18,667.327893
19,601.1775088
20,684.9511937
21,691.5860048
22,699.395261
23,739.1551611
24,652.2820287
25,808.8291656
26,664.7513782
27,718.8234799
28,676.2039947
29,680.4590499
30,804.3583273
31,678.869781
32,587.6849735
33,539.9697233
34,610.5093551
35,549.0720084
36,492.0965813
37,415.5318926
38,337.6269845
39,304.2403852
40,350.0014402
10,268.9366653
11,288.7786576
12,505.4645311
13,483.2550189
14,496.067645
15,602.9241524
16,632.3211326
17,591.0378476
18,762.3051232
19,665.2486485
20,628.7752675
21,710.7800199
22,742.376917
23,857.39892
24,753.2901184
25,772.8499403
26,744.1423532
27,725.2999579
28,730.2636986
29,757.3819803
30,803.7622504
31,729.3696219
32,712.3954199
33,560.4338289
34,637.1947785
35,560.9962402
36,434.6374985
37,488.0511371
38,404.0622698
39,431.2293656
40,261.6959
10,278.4894123
11,311.6945251
12,403.1448019
13,482.100589
14,471.4125913
15,591.5186584
16,527.5958607
17,569.6007794
18,724.0578853
19,627.2076267
20,720.5987356
21,698.9461974
22,752.470092
23,826.4436643
24,827.3294217
25,733.45461
26,633.7382232
27,866.8830795
28,765.3533083
29,745.0663668
30,699.3300238
31,703.5054211
32,643.7812084
33,643.0347322
34,567.9876628
35,481.4896061
36,557.3919134
37,537.9872513
38,396.5629715
39,295.3355122
40,332.1120653
10,297.7645432
11,271.3390797
12,412.106593
13,430.4849833
14,490.951571
15,492.1713819
16,678.1570954
17,605.4433982
18,571.7243294
19,687.8596719
20,713.1587823
21,668.708665
22,587.5539664
23,709.9759149
24,776.5253818
25,747.0138362
26,743.0910628
27,770.0410364
28,672.6770681
29,772.8388522
30,699.7327986
31,713.3655334
32,703.7053867
33,633.1740207
34,544.0646194
35,608.1482278
36,407.9917528
37,434.760463
38,399.2164645
39,349.6939482
40,351.0231954
