"Species","Depth","Alga_length"
"A",1,131.83
"A",2,116.73
"A",3,114.08
"A",4,131.7
"A",5,132.33
"A",6,132.7
"A",7,137.46
"A",8,138.79
"A",9,156.89
"A",10,164.97
"A",11,166.89
"A",12,155.53
"A",13,176.69
"A",14,164.32
"A",15,189.38
"A",1,126.3
"A",2,119.23
"A",3,118.85
"A",4,118.93
"A",5,123.6
"A",6,121.95
"A",7,154.2
"A",8,154.39
"A",9,146.84
"A",10,155.64
"A",11,152.48
"A",12,185.76
"A",13,155.28
"A",14,166.68
"A",15,173.5
"A",1,126.91
"A",2,122.18
"A",3,104.19
"A",4,117.91
"A",5,138.59
"A",6,138.31
"A",7,132.12
"A",8,144.41
"A",9,140.65
"A",10,155.39
"A",11,141.44
"A",12,163.9
"A",13,166.27
"A",14,167.95
"A",15,171.07
"A",1,123.11
"A",2,117.17
"A",3,126.35
"A",4,138.21
"A",5,146.41
"A",6,139.94
"A",7,140.79
"A",8,136.03
"A",9,134.1
"A",10,144.45
"A",11,169.65
"A",12,168.18
"A",13,161.34
"A",14,162.79
"A",15,166.45
"A",1,130.9
"A",2,121.1
"A",3,140.83
"A",4,138.02
"A",5,148.5
"A",6,129.23
"A",7,142.11
"A",8,136.36
"A",9,155.51
"A",10,154.1
"A",11,153.47
"A",12,175.38
"A",13,166.07
"A",14,177.75
"A",15,179.1
"A",1,112.22
"A",2,117.52
"A",3,128.1
"A",4,119.31
"A",5,140.89
"A",6,124.93
"A",7,159.14
"A",8,140.36
"A",9,166.91
"A",10,148.5
"A",11,146.21
"A",12,160.32
"A",13,163.94
"A",14,149.57
"A",15,181.96
"A",1,108.61
"A",2,127.54
"A",3,132.82
"A",4,132.67
"A",5,133.57
"A",6,140.5
"A",7,130.77
"A",8,137.17
"A",9,137.51
"A",10,169.48
"A",11,172.22
"A",12,162.82
"A",13,150.67
"A",14,167.22
"A",15,186.78
"A",1,115.39
"A",2,132.4
"A",3,117.35
"A",4,138.47
"A",5,124.75
"A",6,125.45
"A",7,131.95
"A",8,136.47
"A",9,139.65
"A",10,160.65
"A",11,157.17
"A",12,156.64
"A",13,152.21
"A",14,156.56
"A",15,162.78
"B",1,117.67
"B",2,128.19
"B",3,141.27
"B",4,127.86
"B",5,158.76
"B",6,133.72
"B",7,149.84
"B",8,178.84
"B",9,167.21
"B",10,159.05
"B",11,156.33
"B",12,174.85
"B",13,172.33
"B",14,172.2
"B",15,182.94
"B",1,124.17
"B",2,160.18
"B",3,153.71
"B",4,148.04
"B",5,150.97
"B",6,141.64
"B",7,159.95
"B",8,150.85
"B",9,147.66
"B",10,181.04
"B",11,155.68
"B",12,165.82
"B",13,166.13
"B",14,166.31
"B",15,185.84
"B",1,113.51
"B",2,130.68
"B",3,130.5
"B",4,125.7
"B",5,142.9
"B",6,142.79
"B",7,144.73
"B",8,164.54
"B",9,163.52
"B",10,160.71
"B",11,166.86
"B",12,161.26
"B",13,170.39
"B",14,187.41
"B",15,179.5
"B",1,130.87
"B",2,153.66
"B",3,129.17
"B",4,149.91
"B",5,162.06
"B",6,136.27
"B",7,151.01
"B",8,150.42
"B",9,152.99
"B",10,150.88
"B",11,156.02
"B",12,181.93
"B",13,178.57
"B",14,184.05
"B",15,195.71
"B",1,125.44
"B",2,141.21
"B",3,135.79
"B",4,134.85
"B",5,153.16
"B",6,147.61
"B",7,139.85
"B",8,151.98
"B",9,173.44
"B",10,173.71
"B",11,150.24
"B",12,169.83
"B",13,181.19
"B",14,159.34
"B",15,194.17
"B",1,123.62
"B",2,135.68
"B",3,134.41
"B",4,156.25
"B",5,128.43
"B",6,145.74
"B",7,141.01
"B",8,158.62
"B",9,180.99
"B",10,146.05
"B",11,164.61
"B",12,167.34
"B",13,188.33
"B",14,165.95
"B",15,184.78
"B",1,146.68
"B",2,130.12
"B",3,129.14
"B",4,138.36
"B",5,148.78
"B",6,136.79
"B",7,167.46
"B",8,154.49
"B",9,128.13
"B",10,150.24
"B",11,181.19
"B",12,158.8
"B",13,171.41
"B",14,176.5
"B",15,163.23
"B",1,134.26
"B",2,137.15
"B",3,155.71
"B",4,150.67
"B",5,144.46
"B",6,146.38
"B",7,157.07
"B",8,145.3
"B",9,159.13
"B",10,165.28
"B",11,170.92
"B",12,157.17
"B",13,187.52
"B",14,183.29
"B",15,205.48
"B",1,109.74
"B",2,126.73
"B",3,118.76
"B",4,135.68
"B",5,146.81
"B",6,164.76
"B",7,146.26
"B",8,142.09
"B",9,154.87
"B",10,168.04
"B",11,167.12
"B",12,182.43
"B",13,169.38
"B",14,159.09
"B",15,189.47
"B",1,117.74
"B",2,139.16
"B",3,141.7
"B",4,143.82
"B",5,161.37
"B",6,145.1
"B",7,137.3
"B",8,155.09
"B",9,155.65
"B",10,168.18
"B",11,182.08
"B",12,150.23
"B",13,170.26
"B",14,176.79
"B",15,185.33
"B",1,122.03
"B",2,136.83
"B",3,140.34
"B",4,139.89
"B",5,142.34
"B",6,162.33
"B",7,157.77
"B",8,174.58
"B",9,155.27
"B",10,148.83
"B",11,161.17
"B",12,169.86
"B",13,170
"B",14,171.82
"B",15,163.43
"C",1,70.88
"C",2,70.63
"C",3,92.35
"C",4,96.42
"C",5,115.43
"C",6,94.94
"C",7,115.02
"C",8,100.22
"C",9,90.47
"C",10,119.21
"C",11,110.51
"C",12,110.05
"C",13,114.66
"C",14,142.07
"C",15,151.9
"C",1,94.15
"C",2,81.24
"C",3,71.48
"C",4,94.84
"C",5,109.94
"C",6,109.98
"C",7,106.84
"C",8,109.26
"C",9,99.12
"C",10,119.33
"C",11,117.93
"C",12,121.69
"C",13,121.81
"C",14,113.09
"C",15,123.99
"C",1,91.04
"C",2,85.27
"C",3,88.56
"C",4,89.57
"C",5,113.64
"C",6,99.42
"C",7,106
"C",8,108.32
"C",9,97.58
"C",10,112.75
"C",11,133.8
"C",12,126.72
"C",13,105.7
"C",14,129.02
"C",15,138.85
"C",1,80.19
"C",2,94.86
"C",3,86.14
"C",4,78.42
"C",5,104.99
"C",6,102.57
"C",7,109.8
"C",8,119.82
"C",9,112.55
"C",10,92.59
"C",11,118.77
"C",12,99.7
"C",13,117.57
"C",14,140.32
"C",15,109.44
"C",1,82.53
"C",2,76.92
"C",3,84.49
"C",4,104.56
"C",5,101.46
"C",6,115.87
"C",7,88.18
"C",8,95.18
"C",9,100.26
"C",10,111.93
"C",11,104.29
"C",12,110.24
"C",13,111.85
"C",14,135.81
"C",15,138.7
"C",1,92.98
"C",2,119.08
"C",3,86.05
"C",4,100.81
"C",5,137.7
"C",6,106.41
"C",7,101.9
"C",8,93.86
"C",9,102.95
"C",10,91.83
"C",11,96.94
"C",12,115.59
"C",13,128.53
"C",14,128.54
"C",15,126.6
"C",1,57.7
"C",2,93.26
"C",3,94.3
"C",4,112.82
"C",5,71.65
"C",6,95.49
"C",7,125.36
"C",8,107.9
"C",9,127.85
"C",10,121.01
"C",11,118.97
"C",12,132.6
"C",13,101.2
"C",14,123.64
"C",15,139.44
"C",1,98.45
"C",2,94.66
"C",3,90.87
"C",4,106.68
"C",5,95.76
"C",6,84.93
"C",7,102.47
"C",8,104.28
"C",9,114.77
"C",10,108.69
"C",11,125.63
"C",12,147.39
"C",13,101.25
"C",14,135.55
"C",15,122.31
"D",1,120.97
"D",2,118.36
"D",3,130.12
"D",4,136.83
"D",5,131.21
"D",6,152.43
"D",7,141.92
"D",8,137.57
"D",9,152.51
"D",10,169.02
"D",11,168.67
"D",12,170.6
"D",13,171.65
"D",14,173.54
"D",15,172.44
"D",1,116.37
"D",2,116.24
"D",3,125.31
"D",4,125.75
"D",5,133.51
"D",6,146.1
"D",7,141.26
"D",8,141.45
"D",9,147.64
"D",10,147.72
"D",11,164.52
"D",12,156.06
"D",13,166.76
"D",14,174.16
"D",15,181.02
"D",1,134.18
"D",2,118.66
"D",3,136.31
"D",4,132.17
"D",5,137.74
"D",6,149.86
"D",7,142.72
"D",8,153.05
"D",9,152.61
"D",10,154.14
"D",11,167.69
"D",12,162.74
"D",13,166.41
"D",14,174.77
"D",15,179.52
"D",1,119.43
"D",2,133.87
"D",3,128.15
"D",4,130.44
"D",5,126.47
"D",6,141.53
"D",7,147.55
"D",8,145.8
"D",9,159.6
"D",10,159.95
"D",11,160.84
"D",12,173.38
"D",13,159.66
"D",14,172.62
"D",15,179.16
"D",1,119.06
"D",2,126.53
"D",3,131.18
"D",4,132.75
"D",5,139.05
"D",6,141.48
"D",7,141.54
"D",8,153.48
"D",9,150.09
"D",10,153.43
"D",11,162.83
"D",12,172.79
"D",13,158.3
"D",14,172.16
"D",15,176.81
"D",1,124.42
"D",2,141.27
"D",3,138.05
"D",4,132.28
"D",5,135.41
"D",6,147.07
"D",7,151.16
"D",8,153.26
"D",9,149.94
"D",10,159.53
"D",11,159.91
"D",12,173.6
"D",13,163.05
"D",14,171.3
"D",15,169.37
"D",1,119.12
"D",2,127.89
"D",3,130.25
"D",4,132.47
"D",5,146.79
"D",6,142.75
"D",7,152.79
"D",8,144.36
"D",9,151.82
"D",10,149.36
"D",11,167.85
"D",12,158.78
"D",13,175.24
"D",14,165.94
"D",15,174.24
"D",1,109.22
"D",2,126.58
"D",3,131.55
"D",4,125.04
"D",5,137.18
"D",6,140.47
"D",7,136.27
"D",8,154.2
"D",9,146.76
"D",10,155.56
"D",11,163.27
"D",12,161.17
"D",13,171.42
"D",14,171.8
"D",15,182.52
"D",1,120.8
"D",2,121.8
"D",3,133.35
"D",4,134.06
"D",5,137.14
"D",6,144.89
"D",7,148.43
"D",8,149.6
"D",9,156.42
"D",10,160.66
"D",11,164.67
"D",12,168.97
"D",13,174.29
"D",14,170.41
"D",15,172.43
"E",1,90.4
"E",2,103.68
"E",3,100.55
"E",4,117.23
"E",5,114.87
"E",6,114.97
"E",7,114.47
"E",8,128.22
"E",9,125.4
"E",10,122.53
"E",11,124.66
"E",12,152.81
"E",13,139.03
"E",14,141.81
"E",15,150.01
"E",1,96.77
"E",2,101.66
"E",3,106.55
"E",4,107.32
"E",5,106.12
"E",6,127.4
"E",7,122.96
"E",8,113.52
"E",9,139.11
"E",10,117.83
"E",11,134.52
"E",12,139.24
"E",13,136.48
"E",14,152.07
"E",15,138.15
"E",1,117.24
"E",2,109.59
"E",3,126.22
"E",4,119.5
"E",5,100.32
"E",6,126.75
"E",7,128.41
"E",8,137.66
"E",9,141.74
"E",10,139.32
"E",11,144.61
"E",12,136.37
"E",13,161.13
"E",14,132.02
"E",15,134.48
"E",1,89.77
"E",2,114.89
"E",3,98.78
"E",4,109.45
